id,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,is_canceled
1,2,0,0,3,Meal Plan 1,0,Room_Type 4,130,2018,5,5,Online,0,0,0,114.3,0,1
2,2,0,1,2,Meal Plan 1,0,Room_Type 1,19,2018,2,19,Online,0,0,0,93,1,0
3,2,0,1,2,Meal Plan 1,0,Room_Type 1,14,2018,11,28,Offline,0,0,0,80,0,0
4,2,0,0,1,Meal Plan 1,0,Room_Type 4,13,2018,5,28,Online,0,0,0,156,2,0
5,2,0,2,4,Not Selected,0,Room_Type 1,30,2018,7,15,Online,0,0,0,119.1,1,0
6,2,0,0,1,Meal Plan 1,0,Room_Type 1,68,2018,5,19,Online,0,0,0,97.71,1,0
7,2,0,1,2,Meal Plan 1,0,Room_Type 1,57,2018,6,10,Offline,0,0,0,90.67,1,0
8,0,2,2,1,Meal Plan 1,0,Room_Type 2,7,2017,12,26,Online,0,0,0,83.58,0,0
9,3,0,2,2,Meal Plan 1,0,Room_Type 4,220,2018,12,30,Online,0,0,0,114.75,1,1
10,2,0,0,2,Meal Plan 1,0,Room_Type 4,36,2018,6,9,Online,0,0,0,133.2,0,1
11,2,0,0,1,Not Selected,0,Room_Type 1,0,2017,10,6,Online,0,0,0,114,2,0
12,1,0,0,4,Meal Plan 1,0,Room_Type 1,37,2018,12,14,Online,0,0,0,74.8,1,0
13,2,0,1,2,Meal Plan 1,0,Room_Type 1,41,2017,10,19,Online,0,0,0,103.5,2,0
14,2,2,2,2,Meal Plan 1,0,Room_Type 6,84,2018,5,13,Online,0,0,0,187.85,1,0
15,2,2,2,3,Meal Plan 1,0,Room_Type 6,169,2018,7,3,Online,0,0,0,158.95,1,1
16,3,0,0,1,Meal Plan 1,0,Room_Type 4,146,2018,7,8,Online,0,0,0,146.7,2,0
17,2,0,0,1,Meal Plan 1,0,Room_Type 5,6,2018,9,27,Corporate,1,0,2,109,0,0
18,2,0,0,3,Meal Plan 2,0,Room_Type 1,36,2017,10,13,Offline,0,0,0,112,0,0
19,2,0,0,3,Meal Plan 1,0,Room_Type 1,44,2018,2,17,Offline,0,0,0,75,0,0
20,1,0,0,1,Meal Plan 1,1,Room_Type 5,7,2018,9,21,Corporate,1,0,5,134,1,0
21,2,0,1,0,Not Selected,0,Room_Type 1,32,2017,11,2,Online,0,0,0,85.5,1,0
22,3,0,0,1,Meal Plan 1,0,Room_Type 4,8,2018,12,8,Online,0,0,0,154,0,0
23,2,0,0,3,Meal Plan 1,0,Room_Type 1,27,2018,12,7,Online,0,0,0,113,2,0
24,2,0,1,2,Meal Plan 1,0,Room_Type 1,31,2018,10,14,Offline,0,0,0,85,0,0
25,2,0,0,3,Meal Plan 1,0,Room_Type 1,80,2017,9,3,Online,0,0,0,89.25,0,0
26,2,0,1,0,Meal Plan 1,0,Room_Type 1,12,2018,12,12,Online,0,0,0,104,0,0
27,2,0,0,1,Meal Plan 1,0,Room_Type 1,74,2018,6,10,Online,0,0,0,126.9,0,0
28,2,0,1,3,Meal Plan 1,0,Room_Type 1,36,2017,12,24,Online,0,0,0,58.92,0,0
29,2,0,0,4,Meal Plan 1,0,Room_Type 1,95,2018,4,26,Online,0,0,0,95.2,1,0
